mut_effects,mag_value,sigma,T_%,stdev T_%,FP_%,stdev FP_%,FN_%,stdev FN_%
SMEs,0.1,0.01,92.490625,3.1862604820345433,0.0,0.0,7.509375,3.1862604820345433
SMEs,0.1,0.02,90.6671875,0.3706485816696861,0.0,0.0,9.3328125,0.3706485816696861
SMEs,0.1,0.03,90.6296875,0.11038595288237538,0.0,0.0,9.3703125,0.11038595288237538
SMEs,0.1,0.04,90.6265625,0.04938587696649722,0.0,0.0,9.3734375,0.04938587696649721
SMEs,0.1,0.05,90.625,0.0,0.0,0.0,9.375,0.0
SMEs,0.1,0.06,90.625,0.0,0.0,0.0,9.375,0.0
SMEs,0.1,0.07,90.625,0.0,0.0,0.0,9.375,0.0
SMEs,0.1,0.08,90.625,0.0,0.0,0.0,9.375,0.0
SMEs,0.1,0.09,90.625,0.0,0.0,0.0,9.375,0.0
SMEs,0.1,0.1,90.625,0.0,0.0,0.0,9.375,0.0
Pairwise EEs,0.1,0.01,87.4640625,9.937852661784826,0.0,0.0,12.5359375,9.937852661784826
Pairwise EEs,0.1,0.02,76.6453125,0.5637810932389893,0.0,0.0,23.3546875,0.5637810932389894
Pairwise EEs,0.1,0.03,76.565625,0.06980721219902708,0.0,0.0,23.434375,0.06980721219902715
Pairwise EEs,0.1,0.04,76.5046875,0.6732018149067559,0.0,0.0,23.4953125,0.6732018149067559
Pairwise EEs,0.1,0.05,76.078125,1.8354553888272522,0.0,0.0,23.921875,1.8354553888272522
Pairwise EEs,0.1,0.06,74.828125,3.2127902957359353,0.0,0.0,25.171875,3.2127902957359353
Pairwise EEs,0.1,0.07,72.9828125,4.075795251677119,0.0,0.0,27.0171875,4.075795251677119
Pairwise EEs,0.1,0.08,71.2234375,4.143752062122413,0.0,0.0,28.7765625,4.143752062122413
Pairwise EEs,0.1,0.09,69.9625,3.7277412312954343,0.0,0.0,30.0375,3.7277412312954343
Pairwise EEs,0.1,0.1,68.7609375,3.030183043537759,0.0,0.0,31.2390625,3.030183043537758
Three-way EEs,0.1,0.01,69.39375,3.8433231470304445,0.0,0.0,30.60625,3.8433231470304445
Three-way EEs,0.1,0.02,68.75,0.0,0.0,0.0,31.25,0.0
Three-way EEs,0.1,0.03,68.75,0.0,0.0,0.0,31.25,0.0
Three-way EEs,0.1,0.04,68.6921875,0.6732018149067559,0.0,0.0,31.3078125,0.6732018149067559
Three-way EEs,0.1,0.05,68.265625,1.8354553888272522,0.0,0.0,31.734375,1.8354553888272522
Three-way EEs,0.1,0.06,67.015625,3.2127902957359353,0.0,0.0,32.984375,3.2127902957359353
Three-way EEs,0.1,0.07,65.16875,4.074122796688878,0.0,0.0,34.83125,4.074122796688878
Three-way EEs,0.1,0.08,63.4109375,4.143752062122413,0.0,0.0,36.5890625,4.143752062122413
Three-way EEs,0.1,0.09,62.15,3.7277412312954343,0.0,0.0,37.85,3.7277412312954343
Three-way EEs,0.1,0.1,60.9484375,3.030183043537759,0.0,0.0,39.0515625,3.030183043537759
Four-way EEs,0.1,0.01,76.5625,0.0,0.0,0.0,23.4375,0.0
Four-way EEs,0.1,0.02,76.5625,0.0,0.0,0.0,23.4375,0.0
Four-way EEs,0.1,0.03,76.5625,0.0,0.0,0.0,23.4375,0.0
Four-way EEs,0.1,0.04,76.5046875,0.6732018149067559,0.0,0.0,23.4953125,0.6732018149067559
Four-way EEs,0.1,0.05,76.078125,1.8354553888272522,0.0,0.0,23.921875,1.8354553888272522
Four-way EEs,0.1,0.06,74.828125,3.2127902957359353,0.0,0.0,25.171875,3.2127902957359353
Four-way EEs,0.1,0.07,72.98125,4.074122796688878,0.0,0.0,27.01875,4.074122796688878
Four-way EEs,0.1,0.08,71.2234375,4.143752062122413,0.0,0.0,28.7765625,4.143752062122413
Four-way EEs,0.1,0.09,69.9625,3.7277412312954343,0.0,0.0,30.0375,3.7277412312954343
Four-way EEs,0.1,0.1,68.7609375,3.030183043537759,0.0,0.0,31.2390625,3.030183043537758
