Code,p233,p254,p271,p272,p306,p313,exp1,exp2,exp3,exp4,exp5,exp6,exp7,exp8,exp9,pte1,pte2,pte3,pte4,pte5,pte6,pte7,pte8,pte9,pte10,pte11,pte12,pte13,pte14,pte15,pte16,pte17,pte18,pte19,pte20,pte21,pte22,pte23,pte24
D16,0,1,0,0,0,0,80589.38053,66124.5614,82717.31844,89767.05882,81600.70423,78568.18182,100573.1602,90611.29032,88277.44681,,,,,,,,,,,,,,,,,,,,,,,,0
E1,1,0,0,0,0,1,1037.181373,1102.319277,996.3823529,1045.214286,1055.053476,1047.769231,1338.437002,1266.666667,1401.727116,,,,,,,,,,,,,,,,,,,,,,,,0
E2,0,0,1,0,0,1,1098.455056,1025.727273,1004.365079,1025.168269,1099.747191,1056.913876,1237.487923,734.2045455,1307.156863,,,,,,,,,,,,,,,,,,,,,,,,0
E3,0,0,0,1,0,1,7831.835106,7306.73913,7460.279503,7087.290749,6817.763819,7086.38756,8310.707965,8587.657143,8758.445596,,,,,,,,,,,,,,,,,,,,,,,,0
E4,0,0,0,0,1,1,29.80978261,31.95512821,27.85714286,29.78773585,23.4,33.05687204,26.9124424,27.87878788,26.9124424,,,,,,,,,,,,,,,,,,,,,,,,0
E5,1,0,1,0,0,1,367.5123762,376.757485,380.0349462,275.3964758,310.4782609,279.0625,374.5082212,399.9670543,353.0393082,,,,,,,,,,,,,,,,,,,,,,,,0
E6,1,0,0,1,0,1,511.8805556,408.95,445.621547,357.087156,327.776699,326.4672897,419.7387006,433.792517,418.4702381,,,,,,,,,,,,,,,,,,,,,,,,0
E7,1,0,0,0,1,1,0,10.82894737,6.891061453,8.469135802,9.832535885,6.893518519,0,11.71175523,8.352339181,,,,,,,,,,,,,,,,,,,,,,,,0
E8,0,0,1,1,0,1,1136.611374,937.96875,0,1244.128631,1140.145833,0,1402.313433,1461.721311,0,,,,,,,,,,,,,,,,,,,,,,,,0
E9,0,0,1,0,1,1,318.7713415,285.4034653,295.1090426,275.9538462,256.6064815,239.1018519,272.6472492,268.4787879,263.8294574,,,,,,,,,,,,,,,,,,,,,,,,0
E10,0,0,0,1,1,1,34.68079096,30.44416244,31.41129032,25.85714286,25.0349345,24.10917031,32.77346278,25.38988095,27.21550388,,,,,,,,,,,,,,,,,,,,,,,,0
E11,1,0,1,1,0,1,334.7638889,346.4312169,337.3463855,266.1391753,234.7863636,241.2222222,310.1469534,322.1825397,295.1709402,,,,,,,,,,,,,,,,,,,,,,,,0
E12,1,0,1,0,1,1,54.88352273,59.4895288,58.26715686,42.43192488,44.68095238,43.0941704,52.55555556,41.74565561,49.52615845,,,,,,,,,,,,,,,,,,,,,,,,0
E13,1,0,0,1,1,1,284.5510753,270.104878,286.2445055,220.9822222,228.2247706,224.1219512,282.974359,280.6342183,294.0701754,,,,,,,,,,,,,,,,,,,,,,,,0
E14,0,0,1,1,1,1,146.8973684,160.4248555,163.9297753,138.9272727,149.3947368,135.6883721,162.899705,164.5355987,153.019432,,,,,,,,,,,,,,,,,,,,,,,,0
E15,1,0,1,1,1,1,25.71621622,20.73314607,25.57514451,22.81775701,18.69346734,20.83009709,30.08293461,18.76026273,26.29783951,,,,,,,,,,,,,,,,,,,,,,,,0
E16,0,0,0,0,0,1,2899.507772,2750.279188,2496.674641,3471.779279,3396.497585,2932.552743,4016.123348,4001.698113,3320.901639,,,,,,,,,,,,,,,,,,,,,,,,0
F1,1,0,0,0,0,0,3588.059211,3211.708075,3241.580645,3673.509317,2984.620853,3475.409357,4138.36478,3833.193717,4080.823529,,,,,,,,,,,,,,,,,,,,,,,,0
F2,0,0,1,0,0,0,1610.300546,1817.256944,1629.29878,1825.028736,1998.422619,1699.435484,2108.690476,2201.052632,2185.56213,,,,,,,,,,,,,,,,,,,,,,,,0
F3,0,0,0,1,0,0,16349.59119,16508.71069,14640.81461,16246.04167,15768.90957,14103.48341,18136.39752,17726.14525,16091.54639,,,,,,,,,,,,,,,,,,,,,,,,0
F4,0,0,0,0,1,0,103.3967391,118.6416185,109.8097826,129.4101124,115.4433498,106.4858491,134.4378698,136.1538462,117.3,,,,,,,,,,,,,,,,,,,,,,,,0
F5,1,0,1,0,0,0,898.3,858.4355828,813.0571429,860.0815217,846.9672131,848.7626263,1070.930233,1166.820809,1084.020619,,,,,,,,,,,,,,,,,,,,,,,,0
F6,1,0,0,1,0,0,2579.573864,2482.621622,2151.051402,2633.089623,2607.956731,2431.38009,3054.832536,3577.202073,3195.225225,,,,,,,,,,,,,,,,,,,,,,,,0
F7,1,0,0,0,1,0,26.58474576,19.57772021,25.55337079,24.10576923,20.37209302,22.21538462,30.38047138,25.63580247,0,,,,,,,,,,,,,,,,,,,,,,,,0
F8,0,0,1,1,0,0,1894.563953,1832.909605,1730.706806,2133.571429,2187.41206,2152.475,2418.380952,2633.266332,2491.730769,,,,,,,,,,,,,,,,,,,,,,,,0
F9,0,0,1,0,1,0,225.5942623,212.4775641,0,204.6516854,194.8251366,0,206.6776557,196.320922,0,,,,,,,,,,,,,,,,,,,,,,,,0
F10,0,0,0,1,1,0,109.9583333,108.9583333,0,111.6508876,98.47191011,0,127.3809524,107.1072125,0,,,,,,,,,,,,,,,,,,,,,,,,0
F11,1,0,1,1,0,0,963.7025316,870.625,0,1091.279762,887.1714286,0,1225.276074,1086.060606,0,,,,,,,,,,,,,,,,,,,,,,,,0
F12,1,0,1,0,1,0,44.91968912,45.159375,0,37.28019324,37.29207921,0,42.93460925,40.81944444,0,,,,,,,,,,,,,,,,,,,,,,,,0
F13,1,0,0,1,1,0,33.44915254,37.83566434,0,30.63861386,27.42342342,0,33.80584192,33.58132045,0,,,,,,,,,,,,,,,,,,,,,,,,0
F14,0,0,1,1,1,0,87.1953125,92.18154762,0,87.14220183,81.26576577,0,102.2393539,94.68992248,0,,,,,,,,,,,,,,,,,,,,,,,,0
F15,1,0,1,1,1,0,32.44662921,27.99710983,0,27.48969072,26.42592593,0,33.00666667,22.70249221,0,,,,,,,,,,,,,,,,,,,,,,,,0
F16,0,0,0,0,0,0,9303.005319,10375.7622,0,11207.39437,12251.43204,0,12290.26316,13833.30097,0,13079.54545,12186.93467,10233.84615,13222.34637,15936.42857,16057.5419,16921.96532,16039.26702,20569.9422,17584.29319,13755.12195,16331.81818,16427.29045,16211.11111,16575.20129,16881.95719,17441.58416,15343.92523,12268.42105,14788.08511,20043.93939,18906.17284,19712.53823,20273.62319
B1,1,1,0,0,0,1,0,5947.96748,0,0,5100.473934,0,6762.352941,6133.333333,0,,,,,,,,,,,,,,,,,,,,,,,,0
B2,0,1,1,0,0,1,12855,10355.05618,0,12033.50254,10408.53081,0,12627.95699,11136.41026,0,,,,,,,,,,,,,,,,,,,,,,,,0
B3,0,1,0,1,0,1,48520.71006,44590.90909,0,47438.57868,43496.3964,0,60327.04403,54229.78723,0,,,,,,,,,,,,,,,,,,,,,,,,0
B4,0,1,0,0,1,1,294.8351648,296.2303665,0,398.627451,386.0683761,0,380.3076923,412.3300971,0,,,,,,,,,,,,,,,,,,,,,,,,0
B5,1,1,1,0,0,1,1552.216749,1539.344262,0,2190.576923,1960.818182,0,2125.971564,1951.155779,0,,,,,,,,,,,,,,,,,,,,,,,,0
B6,1,1,0,1,0,1,2624.180791,2365.154639,0,3499.497487,3128.105727,0,3820.425532,3332.657005,0,,,,,,,,,,,,,,,,,,,,,,,,0
B7,1,1,0,0,1,1,22.35552764,0,0,21.61363636,14.56349206,0,25.1340388,20.58152958,0,,,,,,,,,,,,,,,,,,,,,,,,0
B8,0,1,1,1,0,1,5921.5311,5424.434389,0,8045.106383,7740.740741,0,8715.492958,8514.814815,0,,,,,,,,,,,,,,,,,,,,,,,,0
B9,0,1,1,0,1,1,3722.320442,3294.473684,3440.892857,4174.770642,3944.224138,3740.246914,4203.248731,3498.807339,3858.894009,,,,,,,,,,,,,,,,,,,,,,,,0
B10,0,1,0,1,1,1,609.0502793,557.5438596,488.08,622.9850746,569.626556,540.8695652,671.8435754,568.2819383,600.6862745,,,,,,,,,,,,,,,,,,,,,,,,0
B11,1,1,1,1,0,1,1205.568182,1001.150442,1067.096774,1912.745098,1625.619835,1652.813853,1892.941176,1188.294931,1251.553398,,,,,,,,,,,,,,,,,,,,,,,,0
B12,1,1,1,0,1,1,594.9438202,591.1926606,603.7554585,732.1465969,664.3373494,653.203125,727.4853801,680.2597403,736.0730594,,,,,,,,,,,,,,,,,,,,,,,,0
B13,1,1,0,1,1,1,17.60869565,16.45454545,19.12280702,16.91919192,13.25490196,0,19.43351548,19.08055556,15.77163121,,,,,,,,,,,,,,,,,,,,,,,,0
B14,0,1,1,1,1,1,1397.777778,1477.352941,1504.956522,1978.867925,1950.358566,1902.403101,2146.382979,1963.684211,2126.106195,,,,,,,,,,,,,,,,,,,,,,,,0
B15,1,1,1,1,1,1,248.3743842,240.7804878,295.270936,352.8510638,329.7457627,340.3278689,409.0731707,356.6511628,405.437788,,,,,,,,,,,,,,,,,,,,,,,,0
B16,0,1,0,0,0,1,34853.57143,33461.18721,38762.37624,38194.30894,35479.83193,33771.31474,40588.34081,35766.94215,37586.32479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
