Code,p233,p254,p271,p272,p306,p313,exp1,exp2,exp3,exp4,exp5,exp6,exp7,exp8,exp9,pte1,pte2,pte3,pte4,pte5,pte6,pte7,pte8,pte9,pte10,pte11,pte12,pte13,pte14,pte15,pte16,pte17,pte18,pte19,pte20,pte21,pte22,pte23,pte24
D1,1,1,0,0,0,0,26069.30693,24405.91133,24953.68421,24831.96347,25361.38614,23510.14493,24191.22807,27694.44444,29316.25616,,,,,,,,,,,,,,,,,,,,,,,,0
D2,0,1,1,0,0,0,13568,11653.55649,14018.84817,16108.82353,13296.2963,12843.21608,15403.66972,15186.53846,16349.49495,,,,,,,,,,,,,,,,,,,,,,,,0
D3,0,1,0,1,0,0,70567.11111,66756.65025,72221.3198,89703.80952,86313.86139,83620.10582,83874.07407,90533.33333,86677.59563,,,,,,,,,,,,,,,,,,,,,,,,0
D4,0,1,0,0,1,0,1988.785047,2143.119266,2372.254335,2659.728507,2785.654008,2898.477157,2570,3274.747475,3191.208791,,,,,,,,,,,,,,,,,,,,,,,,0
D5,1,1,1,0,0,0,3391.22807,2745.454545,3321.025641,2927.257384,2502.983871,3110.62201,3299.348837,2757,3392.692308,,,,,,,,,,,,,,,,,,,,,,,,0
D6,1,1,0,1,0,0,14411.26761,12032.78689,14736,16967.34694,15620,16019.71831,18608,17511.81102,20954.31472,,,,,,,,,,,,,,,,,,,,,,,,0
D7,1,1,0,0,1,0,141.0212766,146.8778281,141.9417476,106.6222222,131.1764706,126.3203463,136.280236,155.7689922,148.3318452,,,,,,,,,,,,,,,,,,,,,,,,0
D8,0,1,1,1,0,0,13221.71946,11279.27928,12271.55963,15612.09677,14997.52066,14562.05534,17198.1982,18016.43836,17516.15721,,,,,,,,,,,,,,,,,,,,,,,,0
D9,0,1,1,0,1,0,1746.934673,2032.864322,1972.716763,2132.033898,2134.759825,2050.111111,2105.045045,2289.711538,1992.058824,,,,,,,,,,,,,,,,,,,,,,,,0
D10,0,1,0,1,1,0,1785.894737,1909.036145,1757.73399,1963.171806,1644.461538,1705.581395,2077.171717,1960.780488,1580.816327,,,,,,,,,,,,,,,,,,,,,,,,0
D11,1,1,1,1,0,0,2198.564103,2465.815603,1974.232558,2408.333333,1994.638298,2043.009709,2875.729167,2483.567568,2029.957447,,,,,,,,,,,,,,,,,,,,,,,,0
D12,1,1,1,0,1,0,966.3276836,1033.72549,837.7114428,1142.78607,1058.584906,1000.634921,1172.888889,1032.91866,926.2780269,,,,,,,,,,,,,,,,,,,,,,,,0
D13,1,1,0,1,1,0,170.0990099,166.7878788,157.1590909,0,207.1428571,224.7398844,253.3333333,209.2890995,210.8910891,,,,,,,,,,,,,,,,,,,,,,,,0
D14,0,1,1,1,1,0,1037.540107,1091.219512,930.3517588,0,1437.117904,1270.994764,1543.030303,1330.4,1413.64486,,,,,,,,,,,,,,,,,,,,,,,,0
D15,1,1,1,1,1,0,742.9245283,871.9101124,769.6410256,1007.235772,1003.650794,1042.146341,736.4035088,1063.574468,1111.754386,,,,,,,,,,,,,,,,,,,,,,,,0
