Code,p233,p254,p271,p272,p306,p313,exp1,exp2,exp3,exp4,exp5,exp6,exp7,exp8,exp9,pte1,pte2,pte3,pte4,pte5,pte6,pte7,pte8,pte9,pte10,pte11,pte12,pte13,pte14,pte15,pte16,pte17,pte18,pte19,pte20,pte21,pte22,pte23,pte24
D1,1,1,0,0,0,0,79097.17868,69341.04046,80685.01529,57039.75535,47317.36527,61887.5,53903.0303,58646.15385,65574.34402,,,,,,,,,,,,,,,,,,,,,,,,0
D2,0,1,1,0,0,0,6161.816667,5444.482201,6349.809028,5423.096026,4298.84127,5941.826241,5586.27907,6611.966667,7736.195286,,,,,,,,,,,,,,,,,,,,,,,,0
D3,0,1,0,1,0,0,9140.386997,8365.996979,8776.152648,8769.825397,6878.530303,7680.168712,8823.62776,9371.785714,8680.591549,,,,,,,,,,,,,,,,,,,,,,,,0
D4,0,1,0,0,1,0,788.9541547,807.1892655,721.5138889,682.2083333,806.6168478,779.9859155,790.1396648,1166.676136,1169.083333,,,,,,,,,,,,,,,,,,,,,,,,0
D5,1,1,1,0,0,0,106631.9218,72122.69939,69873.11178,77889.96764,57048.19277,59576.92308,82679.36508,70091.18541,72987.80488,,,,,,,,,,,,,,,,,,,,,,,,0
D6,1,1,0,1,0,0,255478.2609,219105.5901,162738.0952,174666.6667,161926.3804,141801.2422,195047.0219,191346.1538,170065.6716,,,,,,,,,,,,,,,,,,,,,,,,0
D7,1,1,0,0,1,0,2331.167582,3222.879213,3063.028986,2703.338235,2938.604972,3170.840708,2795.994318,3762.106742,3668.607242,,,,,,,,,,,,,,,,,,,,,,,,0
D8,0,1,1,1,0,0,14329.7079,13915.67961,13171.52961,12761.89716,12117.0712,12918.29545,11073.88514,11703.20132,12901.02804,,,,,,,,,,,,,,,,,,,,,,,,0
D9,0,1,1,0,1,0,442.8166667,429.6666667,361.340694,375.2310231,258.2379518,352.2168285,556.8896321,453.3230769,417.84375,,,,,,,,,,,,,,,,,,,,,,,,0
D10,0,1,0,1,1,0,1350.174603,1447.340764,1212.2,1035.094044,1120.045181,1255.141509,1694.437299,1505.805471,1594.325153,,,,,,,,,,,,,,,,,,,,,,,,0
D11,1,1,1,1,0,0,239404.5307,244990.3537,377260.4502,214873.7864,192710.2804,222057.8778,239987.3418,256432.0988,247590.0621,,,,,,,,,,,,,,,,,,,,,,,,0
D12,1,1,1,0,1,0,8718.496835,8973.328076,7987.653722,6867.42378,7600.703593,7554.663462,9694.519231,9107.021277,8506.797583,,,,,,,,,,,,,,,,,,,,,,,,0
D13,1,1,0,1,1,0,5973.559078,5435.955224,5879.834835,5817,4768.810888,6489.618902,6415.744048,6379.387755,6695.432836,,,,,,,,,,,,,,,,,,,,,,,,0
D14,0,1,1,1,1,0,2714.678457,2585.694864,2748.587302,2062.712121,2115,2477.380952,2666.656716,2724.333333,2871.335404,,,,,,,,,,,,,,,,,,,,,,,,0
D15,1,1,1,1,1,0,61888.56305,50035.92814,86365.85366,81867.46988,56598.87006,74802.46914,68720.72072,68533.33333,65750.72464,,,,,,,,,,,,,,,,,,,,,,,,0
D16,0,1,0,0,0,0,4649.336918,4124.611307,3191.557377,3590.224913,3076.836066,3418.396825,4503.691756,4197.534722,3637.420382,,,,,,,,,,,,,,,,,,,,,,,,0
E1,1,0,0,0,0,1,104.7208995,112.1778711,132.5347222,208.5389706,126.1144986,153.835,184.5594595,136.5410765,151.9293785,,,,,,,,,,,,,,,,,,,,,,,,0
E2,0,0,1,0,0,1,427.6137124,345.1421725,410.7990033,443.5135379,338.8264803,402.6822034,484.5884354,443.3846154,514.5365854,,,,,,,,,,,,,,,,,,,,,,,,0
E3,0,0,0,1,0,1,238.3918033,235.5339286,178.8831776,260.4088448,246.6157244,183.6556452,227.9968652,271.8566308,178.4640719,,,,,,,,,,,,,,,,,,,,,,,,0
E4,0,0,0,0,1,1,75.24041298,82.88173653,81.41716867,84.13461538,105.7226563,97.3057377,89.77108434,109.1801242,104.8049536,,,,,,,,,,,,,,,,,,,,,,,,0
E5,1,0,1,0,0,1,176.4209726,183.6324405,134.7422535,202.3341667,213.4911859,153.0828446,200.6697531,229.8424437,173.1210375,,,,,,,,,,,,,,,,,,,,,,,,0
E6,1,0,0,1,0,1,172.6046154,112.1991525,140.5618132,156.3246032,126.5965569,143.5106838,177.6204819,138.1994302,153.2346369,,,,,,,,,,,,,,,,,,,,,,,,0
E7,1,0,0,0,1,1,64.30823864,60.61548913,54.18834688,75.2096519,75.40874233,60.90245665,83.24340176,83.55202312,77.40532544,,,,,,,,,,,,,,,,,,,,,,,,0
E8,0,0,1,1,0,1,528.1881356,476.2538941,0,425.1068905,426.1308333,0,572.2768166,502.6761905,0,,,,,,,,,,,,,,,,,,,,,,,,0
E9,0,0,1,0,1,1,92.2266881,113.8578125,114.8761194,86.29100946,122.164791,140.6826299,89.45794393,117.8176101,128.6005917,,,,,,,,,,,,,,,,,,,,,,,,0
E10,0,0,0,1,1,1,75.20086705,66.39917127,66.00403226,107.7940729,110.8489583,118.6674107,108.1627219,106.8248588,110.2322946,,,,,,,,,,,,,,,,,,,,,,,,0
E11,1,0,1,1,0,1,148.2367647,187.174221,128.8850746,203.6461661,257.6857798,156.6548742,175.9306358,252.4134897,158.6160714,,,,,,,,,,,,,,,,,,,,,,,,0
E12,1,0,1,0,1,1,53.75955414,68.23354232,57.75744048,65.51055195,78.34549689,86.57130872,65.374613,85.91614907,78.22222222,,,,,,,,,,,,,,,,,,,,,,,,0
E13,1,0,0,1,1,1,97.8364486,148.4591837,131.1600567,110.1945313,176.5297965,172.0632813,109.516035,174.8644068,164.1964286,,,,,,,,,,,,,,,,,,,,,,,,0
E14,0,0,1,1,1,1,107.3835404,121.6924342,103.992284,123.4567138,137.5306291,128.2092834,115.4553571,161.1566667,130.9528302,,,,,,,,,,,,,,,,,,,,,,,,0
E15,1,0,1,1,1,1,60.65909091,42.9234104,55.62709497,75.83675079,51.67028986,77.15200617,78.43731778,54.29069767,73.52380952,,,,,,,,,,,,,,,,,,,,,,,,0
E16,0,0,0,0,0,1,101.5703593,116.8976261,124.4971014,114.8672638,110.0737082,134.9486971,107.9730539,114.0823864,130.3555556,,,,,,,,,,,,,,,,,,,,,,,,0
F1,1,0,0,0,0,0,367.8604294,407.5944625,426.8248299,491.3401515,442.3916938,476.0944245,542.1527778,458.2972973,504.6382979,,,,,,,,,,,,,,,,,,,,,,,,0
F2,0,0,1,0,0,0,273.6316667,267.9624183,253.2114754,322.7155738,309.775,258.1517544,348.630662,328.2679128,324.3223684,,,,,,,,,,,,,,,,,,,,,,,,0
F3,0,0,0,1,0,0,371.1029412,395.9247492,372.7919355,425.3565436,468.337766,436.327381,442.122449,488.9016949,461.5892256,,,,,,,,,,,,,,,,,,,,,,,,0
F4,0,0,0,0,1,0,106.7411576,116.3757862,105.7765625,129.2276358,137.0959016,128.3229866,126.7053292,145.0601266,137.5559105,,,,,,,,,,,,,,,,,,,,,,,,0
F5,1,0,1,0,0,0,347.0916667,363.7508143,314.2286136,418.9081126,412.6427365,401.1763323,424.0032258,463.5866667,412.8372781,,,,,,,,,,,,,,,,,,,,,,,,0
F6,1,0,0,1,0,0,419.3260135,432.9029605,411.5306452,458.6368852,455.5372517,456.158557,452.2619808,530.0616883,515.4090909,,,,,,,,,,,,,,,,,,,,,,,,0
F7,1,0,0,0,1,0,126.9899425,106.5529248,112.0940054,164.0292857,110.0006906,123.5759587,152.0026316,131.6752137,145.3904494,,,,,,,,,,,,,,,,,,,,,,,,0
F8,0,0,1,1,0,0,349.1003289,396.6826241,380.2320144,364.8886218,401.0371377,388.3248239,391.5158228,474.5735294,444.2229965,,,,,,,,,,,,,,,,,,,,,,,,0
F9,0,0,1,0,1,0,94.35521886,96.18262411,0,118.9715074,114.1559041,0,119.5088339,116.6843972,0,,,,,,,,,,,,,,,,,,,,,,,,0
F10,0,0,0,1,1,0,165.7300319,150.4115044,0,197.5355903,157.8765152,0,195.9934426,162.7740113,0,,,,,,,,,,,,,,,,,,,,,,,,0
F11,1,0,1,1,0,0,535.207265,405.495098,0,553.0361842,455.0291519,0,608.8243243,473.5718954,0,,,,,,,,,,,,,,,,,,,,,,,,0
F12,1,0,1,0,1,0,121.3045455,112.3978328,0,142.8058176,131.669586,0,153.510574,135.0787172,0,,,,,,,,,,,,,,,,,,,,,,,,0
F13,1,0,0,1,1,0,119.1501458,132.6486068,0,151.9717742,145.657767,0,148.186747,149.1133144,0,,,,,,,,,,,,,,,,,,,,,,,,0
F14,0,0,1,1,1,0,133.129085,121.3328221,0,143.6531457,132.6797659,0,151.3012422,135.9530792,0,,,,,,,,,,,,,,,,,,,,,,,,0
F15,1,0,1,1,1,0,139.7775974,115.3833333,0,158.0534539,127.2247634,0,169.652568,143.7254335,0,,,,,,,,,,,,,,,,,,,,,,,,0
F16,0,0,0,0,0,0,269.4561129,289.1583072,0,256.6717252,318.6378425,0,288.2601881,316.8645533,0,356.0833333,402.2093023,450.2096774,400.0822368,251.8665595,283.3958333,336.6900685,332.1661074,324.7128378,312.6182432,377.3979592,426.8103448,284.206229,318.2631148,375.8219298,347.8904682,394.7923323,422.5986842,480.9810127,0,288.262987,362.6442308,426.5932203,406.6498316
B1,1,1,0,0,0,1,0,12604.23944,0,0,9205.650289,0,0,10233.63372,0,,,,,,,,,,,,,,,,,,,,,,,,0
B2,0,1,1,0,0,1,3000.078864,3524.343972,0,2777.507937,3331.897163,0,3093.086817,4219.468085,0,,,,,,,,,,,,,,,,,,,,,,,,0
B3,0,1,0,1,0,1,6362.953125,6746.966463,0,6319.855305,5329.798137,0,6956.22449,8021.859756,0,,,,,,,,,,,,,,,,,,,,,,,,0
B4,0,1,0,0,1,1,651.6767372,513.7384615,0,543.441358,541.4307229,0,714.3533123,744.8742138,0,,,,,,,,,,,,,,,,,,,,,,,,0
B5,1,1,1,0,0,1,27425.64725,29831.1204,0,23110.36859,26515.82792,0,27314.12338,33071.22977,0,,,,,,,,,,,,,,,,,,,,,,,,0
B6,1,1,0,1,0,1,30200.37202,24756.86012,0,29643.54599,24791.8865,0,29627.4613,26576.84049,0,,,,,,,,,,,,,,,,,,,,,,,,0
B7,1,1,0,0,1,1,1198.966049,1115.174927,0,1175.307018,1149.028986,0,1402.688822,1395.338983,0,,,,,,,,,,,,,,,,,,,,,,,,0
B8,0,1,1,1,0,1,9164.982517,7761.241497,0,8016.123418,7655.319489,0,8943.80137,8912.398649,0,,,,,,,,,,,,,,,,,,,,,,,,0
B9,0,1,1,0,1,1,1191.227106,836.8611987,915.6372549,951.5875912,854.9522293,1147.851986,996.6666667,883.3443709,1123.718412,,,,,,,,,,,,,,,,,,,,,,,,0
B10,0,1,0,1,1,1,1627.203704,1660.428082,1584.543796,1550.535055,1618.772242,1661.231618,1795.535055,1915.054945,1711.589147,,,,,,,,,,,,,,,,,,,,,,,,0
B11,1,1,1,1,0,1,163547.4006,185783.4395,195939.2097,117515.9236,156288.5246,152303.6304,153612.6984,181525.641,165807.6923,,,,,,,,,,,,,,,,,,,,,,,,0
B12,1,1,1,0,1,1,17324.19614,16582.55162,19407.3839,15726.67173,15214.95509,17168.50592,17919.40994,18549.11504,19692.34921,,,,,,,,,,,,,,,,,,,,,,,,0
